restuarant_name,restuarant_url,contact_number,address,review_count,categories,pricing,rating
Pelita Brasserie,https://www.yelp.com/biz/pelita-brasserie-kuala-lumpur,03-2711 8866,"138, Jalan Ampang",1,Malaysian,$,4 star rating
Din by Din Tai Fung,https://www.yelp.com/biz/din-by-din-tai-fung-kuala-lumpur,03-2181 0321,"Lot 417, Level 4 Suria KLCC",2,Dim Sum,,4.5 star rating
Sae Ma Eul,https://www.yelp.com/biz/sae-ma-eul-kuala-lumpur,,Jalan Solaris 4,15,Barbeque,,3.5 star rating
Mum’s Place,https://www.yelp.com/biz/mums-place-petaling-jaya-2,03-7727 8443,Jalan PJU 8/5A,8,Malaysian,,4 star rating
Li Yen,https://www.yelp.com/biz/li-yen-kuala-lumpur,03-2142 8000,168 Jalan Imbi,1,Chinese,,4 star rating
Porridge Stall,https://www.yelp.com/biz/porridge-stall-kuala-lumpur,,Jalan Ipoh,2,Street Vendors,$$,4 star rating
Table 23,https://www.yelp.com/biz/table-23-kuala-lumpur,03-2141 0023,"23, Jalan Mesui, Bukit Bintang",8,Malaysian,,4 star rating
Nando’s,https://www.yelp.com/biz/nandos-kuala-lumpur-7,03-2283 1655,,5,Chicken Shop,$$,4.5 star rating
Peranakan Place,https://www.yelp.com/biz/peranakan-place-kuala-lumpur-2,Located in NU Sentral,Located in NU Sentral,9,Nyonya,$$,4 star rating
Restoran Selera Ampang,https://www.yelp.com/biz/restoran-selera-ampang-kuala-lumpur,,Jalan Ampang,2,Malaysian,,4.5 star rating
New Shanghai Legend The Intermark,https://www.yelp.com/biz/new-shanghai-legend-the-intermark-kuala-lumpur,06-0321 812731,"Jalan Tun Razak, 50400 Kuala Lumpur",3,Chinese,$$$,4.5 star rating
Flock,https://www.yelp.com/biz/flock-kuala-lumpur,Located in W Kuala Lumpur,Located in W Kuala Lumpur,1,Australian,,5 star rating
Outback Steakhouse,https://www.yelp.com/biz/outback-steakhouse-kuala-lumpur,03-2276 6200,"201, Jalan Tun Sambathan",7,Steakhouses,$$,3.5 star rating
Bacons & Balls,https://www.yelp.com/biz/bacons-and-balls-kuala-lumpur-2,03-7983 2118,"56, Jalan Lazat 2",1,Modern European,,4 star rating
The TEXAS BBQ Publika,https://www.yelp.com/biz/the-texas-bbq-publika-kuala-lumpur,Located in Publika,Located in Publika,1,Barbeque,,5 star rating
Dôme,https://www.yelp.com/biz/d%C3%B4me-kuala-lumpur-2,,"348, Jalan Tun Razak",2,Modern European,,5 star rating
Bobo,https://www.yelp.com/biz/bobo-kuala-lumpur,03-2092 5002,"65-1, Jalan Bangkung",2,Restaurants,,5 star rating
Just Nyonya,https://www.yelp.com/biz/just-nyonya-kuala-lumpur,03-6279 9996,"25, Lorong 5/62A",1,Nyonya,,5 star rating
Vineria.It,https://www.yelp.com/biz/vineria-it-kuala-lumpur,03-2287 7889,289 Jalan Maarof,4,Italian,$$$,4.5 star rating
Kazoku-Ai Modern Teppanyaki Kitchen,https://www.yelp.com/biz/kazoku-ai-modern-teppanyaki-kitchen-kuala-lumpur,03-7983 1919,151 Old Klang Road,1,Japanese,,5 star rating
Big Baba,https://www.yelp.com/biz/big-baba-kuala-lumpur,,34 Jalan 2/109e,1,Malaysian,,5 star rating
Mama Kim Sauna Mee,https://www.yelp.com/biz/mama-kim-sauna-mee-kuala-lumpur,03-4021 0986,276 Jalan Pahang,3,Chinese,$$,4.5 star rating
Karnaval Churrascaria,https://www.yelp.com/biz/karnaval-churrascaria-petaling-jaya,03-7725 2252,"77, Jalan SS 22/19",8,Brazilian,$$$,4 star rating
Flavor Restaurant @ Swiss-Garden International,https://www.yelp.com/biz/flavor-restaurant-kuala-lumpur,03-2141 3333,"117, Jalan Pudu",1,Asian Fusion,,5 star rating
Thai Garden Village,https://www.yelp.com/biz/thai-garden-village-kuala-lumpur,03-6250 5518,"Lot 32713, 6 1/2 Mile Jalan Kepong",1,Thai,,4 star rating
Kumi,https://www.yelp.com/biz/kumi-kuala-lumpur,012-651 1182,21 Lorong Setiabistari 2,1,Portuguese,,5 star rating
Restoran Sentul Curry House,https://www.yelp.com/biz/restoran-sentul-curry-house-kuala-lumpur,03-4044 0563,"Lot 239, Section 8, RW Township, Bt 2, Jalan Ipoh",5,Restaurants,,4 star rating
Marini’s on 57,https://www.yelp.com/biz/marinis-on-57-kuala-lumpur,03-2386 6030,"Level 57, Menara 3 Petronas",35,Lounges,$$$,4.5 star rating
