word,Highest_word_score
rivals,0.4521758850352781
steak,0.5201264304217049
free,0.294201341797892
might,0.2734051756174597
dinner,0.2259567280958537
pizza,0.28072610118141256
sheet,0.3279955449034336
bags,0.3309346333131578
super,0.24025007709275306
fillings,0.3039909735260389
dumpling,0.49922192343503946
little,0.22148716423993722
dtf,0.5436640148915801
escalator,0.3523075096772482
din,0.30930915687963717
filling,0.44130184522797083
vibe,0.2751372963705942
crab,0.37348433289174116
truffle,0.2652726257264874
pretty,0.337048446749045
us,0.382168506437425
dumplings,0.31934591953548225
xiao,0.3625191768423688
soup,0.3949808243343192
dumplings,0.569809756048498
asia,0.42244719550689996
exterior,0.2872571925022776
seats,0.267224531977632
vacation,0.253321578126444
beats,0.22571624482467761
coffee,0.2911636815421515
pack,0.34621808599160675
coffee,0.4685822661022833
pulp,0.4518782657767811
coffee,0.5880470665386309
work,0.33687717424231634
cafe,0.3177660661570926
coffee,0.3642721502359424
coffee,0.48710735996751553
totally,0.2326619690266395
friendly,0.4907629045323274
coffee,0.5967198434569706
equipment,0.34511655201535746
pulp,0.45654808258284313
minutes,0.35001548204039085
cafe,0.505529509328415
lemak,0.4232786170352139
teow,0.2852676094167179
chinese,0.2894678972240484
curd,0.36814864110458445
petaling,0.2812290514118544
joke,0.27154898487637014
bc,0.43805217969367355
views,0.34950971534876935
pavlova,0.2098713141883038
two,0.2467848820625074
local,0.2215363396093469
fantastic,0.34602415010643284
meal,0.2910478173000832
amazing,0.3173919216173542
fuego,0.5215246279691015
towers,0.2902181533712664
meringue,0.4338753204405097
guacamole,0.4417630138740739
stay,0.24693274275252983
fuego,0.32906852500119965
deck,0.44309759223754225
risk,0.2635407282889424
tapas,0.3595857216481436
shrimps,0.29717246845992845
shisha,0.3670555118840116
alandalus,0.3220691736115538
couscous,0.38399573908481455
collect,0.27336507050259196
italian,0.23090425121741265
french,0.3849370334067521
midi,0.44316116878909284
chinese,0.2256642448594732
conditioned,0.30423011854688614
relax,0.2989507328682344
satay,0.49418947171840805
traditional,0.35350820038831227
nu,0.37589994112933534
map,0.4959406523745256
ciao,0.23371544241624886
samsung,0.5141421583916699
wedding,0.40901531732881646
wedding,0.2675601158460471
italian,0.284286535242034
nicest,0.26880753351314923
late,0.391870215926753
juicy,0.33724201230586204
plating,0.3876298054323696
cabonara,0.3101772162420681
humble,0.26552919828355703
host,0.3700353051307694
building,0.30119856495707376
chinese,0.41348307309902166
gosh,0.37153062279645827
head,0.38658938743477367
typically,0.4040840604060189
village,0.31531995826228193
usually,0.27635926914901454
dish,0.28268875358811896
extra,0.18792217882958834
theres,0.21583874843074355
drumstick,0.38870346573067643
fried,0.5253215625603311
though,0.3827624243383253
five,0.2323106168332676
chicken,0.25688501140911546
extra,0.3194116773854178
anchovies,0.2814534876292387
hospitality,0.27116165896390426
generally,0.4184487935611598
drumstick,0.4328657820482918
rice,0.33986242245637166
always,0.30609621279803856
hype,0.38996041485602206
taste,0.3443574517255845
boca,0.3147852038535356
lively,0.43696395027918544
latin,0.30222688342186194
noise,0.39406841622677635
fajitas,0.3726662745475808
fajitas,0.3688659039297662
boca,0.27233968176313744
latin,0.3422328641663036
reds,0.2879850510834659
meat,0.25645438048789876
vascos,0.36702930287180974
guest,0.3291229748580511
rendang,0.4013592622816341
crunchy,0.2818422113690864
fish,0.4334249215761944
dancing,0.32623871430201556
fish,0.3193501773042015
dancing,0.2591056659970436
indonesian,0.43670465701777156
indonesian,0.4911653073677256
sambal,0.27460579106735217
fish,0.45460941112958025
barley,0.32824863531954435
dancing,0.2885917409807545
id,0.23561280340772223
dancing,0.25200342033544
crackers,0.5865578710311818
laksa,0.429713032176606
thai,0.4682614782336642
chili,0.37825923482246887
dolly,0.2697686297910136
card,0.25768656733849354
food,0.27496495309084307
salted,0.357685066536032
huge,0.32353310891973563
sum,0.420782466383284
avenue,0.3174063228394344
wooden,0.32284438721093267
also,0.2406983311175631
unique,0.2230490028126873
urchin,0.2871897276845084
lounge,0.36309911211896045
linguine,0.27227456098650277
mario,0.33938679123631926
luigi,0.4427048377636704
airy,0.38990341240333065
preserved,0.255090779405976
ones,0.26322819220593935
spaghetti,0.4612107710463569
pasta,0.5961124560819748
gnocchi,0.4352084755083002
pasta,0.36385501300064366
appetisers,0.553922138555455
kuey,0.5998005097207479
kerabu,0.26881023306324237
malay,0.3315881755014777
sweet,0.3080481249332168
delivery,0.33400181890536107
start,0.24515237966490105
stir,0.38857631269916526
attention,0.29693264446708406
lacking,0.47077929027438664
overall,0.324874268357763
nasi,0.4013986239858215
kwans,0.37724022808091934
spread,0.5379462294648814
shangrila,0.536406705798412
sashimi,0.4617315356067521
international,0.44680622731512726
buffet,0.35677702129487393
spread,0.49759010265527465
person,0.32463068245273463
christmas,0.547808972313221
anyway,0.3949118439763825
wings,0.4072042565828602
crabs,0.41554334943334975
pig,0.5020848478102322
paella,0.5134984470606435
cerdo,0.31066893716790756
cerdo,0.4061764795399248
coffee,0.4426150804992307
exceptionally,0.40117403632537296
see,0.2373774622880144
noodles,0.3101265341566854
arrival,0.29523917039945996
aunty,0.32650820302434164
sambol,0.5586233503535442
crab,0.31064399698730005
nandos,0.5997706992777143
read,0.5247956962741084
nandos,0.3822461265482179
blueberry,0.3530209356138541
mochis,0.44631784599485547
mochi,0.5366715880543705
mochi,0.3731925852611474
mochi,0.5583026096228004
away,0.2639713685746235
sweets,0.41956117307364776
kidney,0.37339626631970285
mochi,0.4988173218946425
ingredients,0.24668574090245363
chef,0.2951477845278229
passionate,0.6524719514869916
tarik,0.3465796134474708
though,0.24570473109368096
tree,0.29761139625955196
japanese,0.3742380035138581
table,0.2999781853504377
lunch,0.3247557222250021
japanese,0.6005491554236767
yea,0.34802033574975927
siew,0.44975567793615046
italian,0.37692427811426427
beautiful,0.294118475953953
portofino,0.2599225889353647
italian,0.45196387498403207
worries,0.24887255716947426
enjoy,0.3560750708978323
tiaw,0.37313726839016687
teow,0.29884345856783484
banjir,0.3136171495394231
kuew,0.5166142256050038
kuew,0.2712321069865461
kway,0.36068859552478616
side,0.2529710804124469
nandos,0.3467595101299272
peri,0.49379533129741493
nandos,0.3450287655268867
smaller,0.38370349716748015
wants,0.33881922105284423
nandos,0.362653068494575
hot,0.32687383540202875
periperi,0.3095665775563318
peri,0.7935450610712471
curry,0.49499124943966
soy,0.3493408548501034
green,0.3378725015991826
matcha,0.5133314725648593
matcha,0.3794186601266845
matcha,0.3955274066412689
steak,0.35582499578416665
truck,0.3609159605513743
refreshing,0.3613852502831968
water,0.2920584181434423
